sensor_path,hrf_unit,sensor_measure,sensor_type,data_sheet
chemsense.co.concentration,ppm,Carbon Monoxide,Air Quality,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/co.pdf
chemsense.h2s.concentration,ppm,Hydrogen Sulfide,Air Quality,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/h2s.pdf
chemsense.no2.concentration,ppm,Nitrogen Dioxide,Air Quality,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/no2.pdf
chemsense.o3.concentration,ppm,Ozone,Air Quality,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/o3.pdf
image.image_detector.person_total,counts,Pedestrian Count,Image Processing,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/image_detector.plugin
chemsense.so2.concentration,ppm,Sulfur Dioxide,Air Quality,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/so2.pdf
metsense.bmp180.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/bmp180.pdf
metsense.htu21d.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/htu21d.pdf
metsense.pr103j2.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pr103j2.pdf
metsense.tmp112.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tmp112.pdf
metsense.tsys01.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsys01.pdf
lightsense.hih6130.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hih6130.pdf
wagman.htu21d.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/htu21d.pdf
lightsense.tmp421.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tmp421.pdf
chemsense.lps25h.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/lps25h.pdf
chemsense.at0.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors
chemsense.at1.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors
chemsense.at2.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors
chemsense.at3.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors
chemsense.sht25.temperature,C,Temperature,Environmental,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/sht25.pdf
chemsense.oxidizing_gases.concentration,ppm,Total Oxidizing Gases,Air Quality,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense
chemsense.reducing_gases.concentration,ppm,Total Reducing Gases,Air Quality,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense
image.image_detector.car_total,counts,Vehicle Count,Image Processing,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/image_detector.plugin
wagman.wagman_cu.wm,amps,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
wagman.wagman_cu.nc,amps,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
wagman.wagman_cu.ep,amps,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
wagman.wagman_cu.cs,amps,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.wagman,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.coresense,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.modem,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.wwan,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.lan,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.mic,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.samba,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.bcam,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
nc.device.tcam,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
ep.device.wagman,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
ep.device.coresense,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
ep.device.modem,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
ep.device.wwan,bool,,,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/status.plugin
